AccountId,InstrumentId,Direction,Quantity,EntryPrice,TotalTradeValue,HourOfDay,DayOfWeek,TradeSucceeded,Suspicious
7,4,0,63.91590521086733,24.788953281360367,1584.408388208048,20,4,1,0
4,7,1,52.39772395045112,70.15006304271056,3675.7036384186913,1,5,1,0
8,2,0,43.59679838776443,19.517671257844324,850.9079788269036,17,3,0,0
5,6,1,54.99423932155486,6.84609968262315,376.49604436539823,1,5,1,1
7,6,0,111.980892093591,24.459386834474515,2738.983957786691,20,3,0,0
3,2,0,56.866596516008,107.29429060451648,6101.461132278348,18,5,0,0
7,4,1,39.18934538902328,26.00396144904832,1019.078226709601,21,5,1,0
8,8,1,136.11634662856815,89.67636829438672,12206.419631149882,8,3,1,0
5,8,1,22.68647501750637,23.22335606976345,526.8560872993436,9,6,0,1
4,8,1,22.556363315247943,16.521519941009473,372.6654063095234,3,5,0,0
8,8,1,119.21612908681244,74.5522486748483,8887.830501732857,20,4,0,0
8,1,0,201.5202041665674,11.73769251688157,2365.382192446364,0,6,0,0
3,2,0,27.603132607487773,13.187256772594669,364.0095974229218,10,0,1,0
6,4,1,21.211085466844352,2.5548150620180183,54.19040063244544,21,2,0,0
5,9,0,110.95899673733902,10.403247306687632,1154.333883960484,1,5,0,0
2,3,0,96.96981588690392,23.806348422770142,2308.4972234955067,22,6,0,0
8,6,1,59.28537044270199,25.50568542146834,1512.1140086067742,3,0,1,1
6,7,1,10.07717710114948,27.290533535672346,275.01153962382926,14,6,0,1
2,8,1,9.627461880620489,32.66680768336068,314.4984457331154,19,6,0,0
5,7,0,150.21173695847548,42.42116317602511,6372.15660446965,12,1,0,0
1,3,1,60.10587621428783,10.500818586984735,631.1609021379975,0,1,0,1
6,6,0,195.16964964111733,47.58866582707465,9287.863236358373,21,2,0,0
9,5,1,85.50396040920737,20.51543502951573,1754.1509445413787,1,5,1,0
1,4,1,96.42688465413356,66.21496643403634,6384.902930712147,5,5,0,0
3,1,1,272.10509747433434,40.73235641513796,11083.481812700442,6,3,1,0
7,7,1,17.9863652763732,40.40194053732885,726.6840603787064,18,2,1,0
4,8,0,78.31249076487966,57.83649159868271,4529.319714194879,3,4,0,0
9,2,0,5.989714895290717,20.2496852833054,121.28984156636352,17,5,0,0
3,7,0,44.46088989161509,28.038705225385108,1246.6257857293,22,3,1,0
5,6,1,16.028436893149472,43.721208367303824,700.782629207568,8,2,1,0
3,5,0,20.80529423322005,27.37064415326685,569.4543049614808,20,2,1,1
7,4,0,273.021483266154,29.37250877508918,8019.325913022973,10,6,1,0
5,2,0,94.33601453442432,15.906175536611135,1500.5252066088528,4,4,1,0
9,6,1,222.708932104266,16.94070066000463,3772.845353087665,23,4,0,0
7,5,0,58.612437916825336,60.02517596383285,3518.221899626669,0,0,0,0
2,2,1,91.04163863352996,0.2145166177389054,19.529944393072512,1,1,0,1
4,7,1,3.2620833035259977,5.007064765093448,16.333462369884657,22,2,1,0
9,6,0,63.39395288056311,148.61044599891315,9421.003611214568,2,6,0,0
2,9,0,83.02430288153094,10.35232052977834,859.4941951910079,21,0,0,0
9,5,1,1.6920054454998028,27.07462854125679,45.81041892669087,16,3,1,0
5,9,1,155.82182106667116,94.75115461945484,14764.297460973186,23,3,0,1
2,9,1,35.01576339258242,0.1,3.5015763392582424,1,1,1,0
4,1,0,60.23692101925423,129.6329608533073,7808.690424412748,0,3,1,0
7,5,1,76.70742451195932,2.74861446390335,210.83913650234567,1,1,1,0
8,9,1,485.3266628342696,9.368858717403592,4546.9569358832405,7,3,0,0
3,7,1,10.445442281083228,1.476772607327083,15.425543032119831,12,3,1,0
1,6,0,81.03094239528465,36.64848854864879,2969.661564459809,13,2,0,0
4,6,1,75.62875239776017,143.3179972176022,10838.961325712917,20,4,1,0
2,7,1,7.139900920510862,91.3289170531222,652.0794189368474,11,2,0,0
8,1,1,100.49535449935266,51.047650437965245,5130.0517271223525,8,0,1,0
4,4,1,33.806971936893405,10.25834504257278,346.80358297322755,18,4,0,0
2,1,1,10.955593319907106,101.85631895885936,1115.896407576007,23,2,1,0
6,6,0,19.67961268737721,70.27903587723135,1383.0642061062003,19,4,0,1
6,4,0,173.5019464462869,15.52009545465532,2692.766770414868,6,4,0,0
4,1,1,10.995411949425762,81.76065365860494,898.9920682306858,9,4,0,0
6,9,1,62.90976319005424,104.8401035832202,6595.466089241139,23,3,1,0
2,4,1,21.72523401003597,59.903846365811376,1301.425080398495,2,4,1,1
2,6,1,17.711894836371663,5.289372059463072,93.68480166765254,18,3,0,0
4,7,1,23.03088602078638,207.5357255143925,4779.731639563182,16,5,0,0
8,8,1,67.88162299732973,3.952213882526732,268.2826927784924,7,4,0,0
7,9,0,27.1531099253372,53.13436755273927,1442.7633229727992,17,3,1,0
9,9,1,10.17370332427594,5.856208243297091,59.579325272483786,6,4,0,0
8,8,1,161.6466904254604,117.91195122661004,19060.07667738982,6,0,1,0
5,3,0,77.61406108754714,21.53742917427423,1671.60734360084,22,2,0,0
2,2,0,17.061473268884903,35.821099729842736,611.160735502772,19,5,1,0
5,5,0,63.75797457391864,9.84709075266444,627.8305618354487,22,4,0,0
8,1,0,7.081148831807031,39.54485758795822,280.02302211294574,15,0,1,0
9,3,1,86.85245766295141,139.71301742636356,12134.418930986434,14,2,1,0
